"Data S1. Metadata for 8,261 Plasmodium falciparum samples used in the analysis",,,,,,,,,,,,,,,,,,,,,
wgs_id,sample,sra_run,country,site,year,region,fws,Malaria-MOI,estMOI,X5.percentage,X10.percentage,X15.percentage,X20.percentage,X30.percentage,Median.Coverage,Minimum.Coverage,Maximum.Coverage,PASS,Malaria-MOI_ multiclonal,estMOI_ multiclonal,fws_ multiclonal
BIJAGOS114,SAMN31875010,SRR22412632,Guinea_Bissau,Bubaque,2018,West_Africa,0.985,1,1,100,98.79518072,98.19277108,95.78313253,87.34939759,84.425,7.35,1773.24,TRUE,0,0,0
BIJAGOS125,SAMN31875009,SRR22412633,Guinea_Bissau,Orango,2018,West_Africa,0.987,1,1,99.39759036,98.19277108,93.97590361,92.1686747,82.53012048,78.035,4.81,1548.22,TRUE,0,0,0
BIJAGOS2,SAMN31875012,SRR22412631,Guinea_Bissau,Bubaque,2018,West_Africa,0.995,1,1,86.14457831,77.10843373,62.04819277,52.40963855,39.15662651,21.11,0.76,955.51,TRUE,0,0,0
BIJAGOS3,SAMN31875011,SRR22412630,Guinea_Bissau,Bubaque,2018,West_Africa,0.977,1,1,94.57831325,84.3373494,71.68674699,59.63855422,46.98795181,26.76,0.49,529.22,TRUE,0,0,0
BIJAGOS60,SAMN31875008,SRR22412634,Guinea_Bissau,Canhabaque,2018,West_Africa,0.916,1,1,69.27710843,54.21686747,45.18072289,42.77108434,37.95180723,12.145,0,2301.14,TRUE,0,0,1
ERR012224,PK0040_C,ERR012224,Burkina_Faso,"Bobo-Dioulasso,Ouagadougou",2008,West_Africa,0.825,2,1,100,100,98.79518072,98.79518072,95.18072289,76.78,12.82,209.4,TRUE,1,0,1
ERR012225,PN0007_C,ERR012225,PNG,Madang,2008,Oceania,0.987,1,1,99.39759036,95.18072289,84.3373494,45.18072289,0.602409639,19.425,3.9,33.73,TRUE,0,0,0
ERR012231,PH0021_C,ERR012231,Cambodia,Cambodia_West,2007,Southeast_Asia,0.994,1,1,70.48192771,35.54216867,19.87951807,12.65060241,6.626506024,7.495,0,70.48,TRUE,0,0,0
ERR012235,PM0039_C,ERR012235,Mali,Kolle,2007,West_Africa,0.941,1,1,95.78313253,75.90361446,29.51807229,9.036144578,0.602409639,12.905,1.71,30.86,TRUE,0,0,1
ERR012237,PC0007_C,ERR012237,Kenya,Kilifi,2007,East_Africa,0.998,1,1,100,63.25301205,0,0,0,10.535,5.22,14.86,TRUE,0,0,0
ERR012240,PD0007_01,ERR012240,Thailand,Mae Sot,2001,Southeast_Asia,0.836,1,2,100,97.59036145,86.14457831,40.96385542,0,19.385,6.73,27.19,TRUE,0,1,1
ERR012251,PK0027_C,ERR012251,Burkina_Faso,"Bobo-Dioulasso,Ouagadougou",2008,West_Africa,0.975,1,1,100,96.38554217,90.36144578,78.31325301,36.14457831,26.335,5.76,85.22,TRUE,0,0,0
ERR012257,PC0003_02,ERR012257,Kenya,Kilifi,2007,East_Africa,0.997,1,1,99.39759036,90.36144578,64.45783133,37.95180723,10.24096386,17.885,2.3,44.48,TRUE,0,0,0
ERR012261,PM0008_C,ERR012261,Mali,Faladje,2007,West_Africa,0.904,1,1,85.54216867,68.6746988,54.21686747,36.74698795,17.46987952,16.305,0,72.37,TRUE,0,0,1
ERR012263,PK0066_C,ERR012263,Burkina_Faso,"Bobo-Dioulasso,Ouagadougou",2008,West_Africa,0.676,2,2,92.1686747,71.08433735,43.37349398,30.72289157,15.6626506,13.91,0.29,102.98,TRUE,1,1,1
ERR012265,PH0003_C,ERR012265,Cambodia,"Pursat,Cambodia_West",2007,Southeast_Asia,0.998,1,1,99.39759036,98.19277108,94.57831325,86.14457831,22.28915663,26.86,4.36,36.76,TRUE,0,0,0
ERR012266,PM0008_C,ERR012266,Mali,Faladje,2007,West_Africa,0.911,1,1,80.12048193,62.04819277,42.77108434,27.71084337,11.44578313,12.855,0.21,53.27,TRUE,0,0,1
ERR012268,PM0022_C,ERR012268,Mali,Faladje,2007,West_Africa,0.969,1,1,99.39759036,93.97590361,81.92771084,60.24096386,14.45783133,22.285,1.16,46.05,TRUE,0,0,0
ERR012272,PH0001_C,ERR012272,Cambodia,"Pursat,Cambodia_West",2007,Southeast_Asia,0.773,2,2,100,99.39759036,97.59036145,86.74698795,28.91566265,26.645,8.07,38.49,TRUE,1,1,1
ERR012275,PK0037_C,ERR012275,Burkina_Faso,"Bobo-Dioulasso,Ouagadougou",2008,West_Africa,0.742,2,2,100,98.79518072,98.79518072,95.78313253,89.15662651,53.105,6.15,262.83,TRUE,1,1,1
ERR012277,PC0007_C,ERR012277,Kenya,Kilifi,2007,East_Africa,0.995,1,1,100,98.19277108,85.54216867,28.91566265,0,18.74,8.23,26.8,TRUE,0,0,0
